Runs Scored,Minutes Batted,Balls Faced,Boundaries,Strike Rate,Position,Dismissal,Innings,Opposition,Ground,Result
18,28,29,1,62.06,3,caught,1,v Zimbabwe,Harare,w
10,13,14,1,71.42,3,caught,1,v Sri Lanka,Dambulla,w
28,57,34,4,82.35,3,caught,1,v Sri Lanka,Dambulla,w
0,5,3,0,0,3,caught,2,v Sri Lanka,Dambulla,l
91,148,97,10,93.81,3,caught,1,v Australia,Perth,w
59,84,67,4,88.05,3,run out,1,v Australia,Brisbane,l
117,174,117,9,100,3,caught,1,v Australia,Melbourne,w
106,131,92,12,115.21,3,caught,2,v Australia,Canberra,w
8,11,11,1,72.72,3,caught,2,v Australia,Sydney,l
0,3,2,0,0,3,caught,2,v New Zealand,Bengaluru,l
2,10,8,0,25,3,caught,2,v New Zealand,Chennai,l
54,122,70,3,77.14,3,caught,2,v South Africa,Durban,w
87,126,92,9,94.56,3,not out,2,v South Africa,Port Elizabeth,l
2,11,6,0,33.33,3,caught,2,v South Africa,Centurion,w
100,113,83,10,120.48,4,not out,1,v Bangladesh,Dhaka,l
34,82,53,3,64.15,4,run out,2,v Ireland,Bengaluru,l
12,16,20,2,60,5,bowled,2,v Netherlands,Delhi,l
24,38,33,1,72.72,4,caught,2,v Australia,Ahmedabad,w
9,20,21,0,42.85,4,caught,1,v Pakistan,Mohali,w
35,69,49,4,71.42,4,caught,2,v Sri Lanka,Mumbai,w
2,5,8,0,25,3,caught,2,v West Indies,Port of Spain,l
0,1,1,0,0,3,lbw,2,v West Indies,North Sound,l
22,68,33,1,66.66,3,stumped,2,v West Indies,North Sound,w
94,135,104,10,90.38,3,run out,1,v West Indies,Kingston,l
9,9,9,0,100,4,caught,1,v England,Southampton,w
7,18,18,0,38.88,4,caught,1,v England,The Oval,w
112,134,98,16,114.28,4,not out,2,v England,Delhi,l
35,42,30,5,116.66,4,lbw,2,v England,Mohali,l
0,5,5,0,0,3,bowled,1,v England,Kolkata,l
3,13,6,0,50,4,bowled,2,v West Indies,Cuttack,l
117,154,123,14,95.12,4,caught,2,v West Indies,Visakhapatnam,w
20,21,30,3,66.66,4,lbw,2,v West Indies,Ahmedabad,w
23,15,11,3,209.09,6,not out,1,v West Indies,Indore,w
80,99,85,5,94.11,5,caught,1,v West Indies,Chennai,w
61,121,85,6,71.76,3,lbw,2,v Australia,Pune,w
100,82,52,15,192.3,3,not out,2,v Australia,Jaipur,l
68,121,73,9,93.15,3,caught,1,v Australia,Mohali,w
38,80,65,2,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),w
128,187,119,13,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),w
